-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 aten::leaky_relu         2.65%       4.206ms         2.65%       4.206ms     701.060us           0 B           0 B      13.78 MB      13.78 MB             6  
                                     aten::conv2d         0.02%      35.979us        70.42%     111.909ms      18.651ms           0 B           0 B      13.78 MB           0 B             6  
                                aten::convolution         0.04%      70.795us        70.39%     111.873ms      18.645ms           0 B           0 B      13.78 MB           0 B             6  
                               aten::_convolution         0.04%      55.750us        70.35%     111.802ms      18.634ms           0 B           0 B      13.78 MB           0 B             6  
                          aten::cudnn_convolution        70.31%     111.746ms        70.31%     111.746ms      18.624ms           0 B           0 B      13.78 MB      13.78 MB             6  
                                    aten::flatten         0.02%      25.786us         0.03%      46.837us      15.612us           0 B           0 B           0 B           0 B             3  
                                       aten::view         0.03%      50.667us         0.03%      50.667us       2.111us           0 B           0 B           0 B           0 B            24  
                                  aten::transpose         0.05%      74.501us         0.06%     101.491us       2.819us           0 B           0 B           0 B           0 B            36  
                                 aten::as_strided         0.02%      35.533us         0.02%      35.533us       0.790us           0 B           0 B           0 B           0 B            45  
                                     aten::linear         0.02%      24.294us        17.76%      28.227ms       4.705ms           0 B           0 B      31.09 MB           0 B             6  
                                          aten::t         0.02%      24.744us         0.03%      42.168us       7.028us           0 B           0 B           0 B           0 B             6  
                                     aten::matmul         0.04%      56.543us        17.72%      28.161ms       4.693ms           0 B           0 B      31.09 MB           0 B             6  
                                    aten::reshape         0.02%      39.140us         2.98%       4.734ms     526.053us           0 B           0 B       4.59 MB           0 B             9  
                                      aten::clone         0.01%      16.724us         2.94%       4.673ms       1.558ms           0 B           0 B       4.59 MB           0 B             3  
                                 aten::empty_like         0.01%      13.186us         0.02%      31.703us      10.568us           0 B           0 B       4.59 MB           0 B             3  
                                      aten::empty         0.05%      84.063us         0.05%      84.063us       3.503us          48 B          48 B      14.69 MB      14.69 MB            24  
                                      aten::copy_         2.91%       4.624ms         2.91%       4.624ms       1.541ms           0 B           0 B           0 B           0 B             3  
                               aten::_unsafe_view         0.02%      34.684us         0.02%      34.684us       3.854us           0 B           0 B           0 B           0 B             9  
                                         aten::mm        14.70%      23.366ms        14.70%      23.366ms       3.894ms           0 B           0 B      26.50 MB      26.50 MB             6  
                                      aten::chunk         0.01%      12.386us         0.05%      78.544us      26.181us           0 B           0 B           0 B           0 B             3  
-------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 158.924ms
